"Game ID";"Game Name"
"559736";" Mr. Dragon's Short Quest"
"18551";"'89 Denn Kysei Uranai"
"420831";"0-to-X"
"1658";"10-yard Fight"
"537743";"1000 Stars"
"420828";"1007 Bolts"
"1461";"1942"
"154884";"1942 Cold Winter"
"1468";"1943 - The Battle Of Midway"
"141314";"1944"
"18546";"1991 Du Ma Racing"
"535058";"1996 Yingyu CAI 3-in-1"
"18547";"1999 - Hore, Mita Koto Ka! Seikimatsu"
"367364";"2 in 1 Geminim-Siamond"
"97386";"2048"
"455204";"25th Anniversary Super Mario Bros."
"420897";"2600 AD"
"420891";"2A03 Puritans"
"44472";"3 In 1 Supergun"
"18548";"3-D WorldRunner"
"420888";"3-in-1 2p Pak"
"544367";"3-in-1 By Mankeli"
"44473";"3d Block"
"18549";"4 Nin Uchi Mahjong"
"541730";"5-STAR Restaurant"
"559025";"500"
"18550";"6 In 1"
"1726";"720 Degrees"
"1556";"8 Eyes"
"420927";"8-Bit Hero Trainer"
"434217";"8-Bit Slasher 4-in-1 Horror Demakes"
"420924";"8-BIT XMAS 2008"
"420942";"8-BIT XMAS 2009"
"420933";"8-BIT XMAS 2010"
"420939";"8-BIT XMAS 2011"
"420912";"8-BIT XMAS 2012"
"367368";"8-BIT XMAS 2013"
"367372";"8-BIT XMAS 2014"
"420915";"8-BIT XMAS 2015"
"420909";"8-BIT XMAS 2016"
"420906";"8-BIT XMAS 2017"
"367376";"8-BIT XMAS 2018"
"367380";"8-BIT XMAS 2019"
"367384";"8-BIT XMAS 2020"
"367388";"8-BIT XMAS 2021"
"420903";"8-BIT XMAS 2022"
"541547";"80's Bros. vs the Horde of Chewbaccy Balboa"
"429056";"8BIT MUSIC POWER"
"367392";"8Bit Music Power Final"
"367396";"8BIT Rhythm Land"
"1350";"Nightmare On Elm Street, A"
"59397";"A-Ressha De Ikou"
"18552";"Aa Yaky Jinsei Icchokusen"
"18553";"Abadox - The Deadly Inner War"
"143294";"Abarenradin"
"18554";"Action 52"
"191824";"Action 53 Volume 1"
"213538";"Action 53 Volume 2"
"213536";"Action 53 Volume 3"
"213534";"Action 53 Volume 4"
"136007";"Adam And Eve"
"1791";"Advanced Dungeons & Dragons - Dragons of Flame"
"1692";"Advanced Dungeons And Dragons - Dragon Strike"
"1521";"Adventure Island 3"
"1436";"Adventure Island 2"
"1342";"Adventure Island"
"143237";"Adventures Of Bass 2"
"1627";"Adventures of Dino Riki"
"143751";"Adventures Of Lex And Grim, The"
"1311";"Adventures of Lolo"
"1411";"Adventures of Lolo 2"
"1499";"Adventures of Lolo 3"
"420951";"Adventures of Panzer 2, The"
"367408";"Adventures of Panzer, The"
"559715";"Adventures Of Spaceman BIT, The"
"1583";"Adventures Of Tom Sawyer"
"1586";"After Burner"
"420948";"AfterWorld DELUXE"
"18558";"Ai Sensei No Oshiete - Watashi No Hoshi"
"134946";"Ai Senshi Nicol"
"59412";"Aigina No Yogen - Balubalouk No Densetsu Yori"
"1427";"Air Fortress"
"420945";"Air Sea Battle"
"59410";"Airball"
"1432";"Airwolf"
"117065";"Airwolf (Japanese Version)"
"18559";"Akagawa Jirou No Yuurei Ressha"
"538481";"Akai Ringo To Midori No Inko"
"1449";"Akira"
"18560";"Akuma-kun - Makai No Wana"
"1489";"Akumajou Special - Boku Dracula-kun"
"18563";"Al Unser Jr. Turbo Racing"
"1319";"Aladdin"
"367045";"Aladdin (Hummer Team Version)"
"124467";"Aladdin 2"
"141312";"Aladdin III"
"18844";"Corvette ZR-1 Challenge"
"421191";"Alex Islands"
"420957";"Alfonzo Game, The"
"420960";"Alfonzo Melee!"
"367412";"Alfonzo's Arctic Adventure"
"18561";"Alfred Chicken"
